x,y,theta,speed,xref,yref
-0.017310, -0.048994, -0.000000, 0.707000, -0.017216, -0.049401
-0.017404, -0.048587, 0.000000, 0.601000, -0.017310, -0.048994
-0.017499, -0.048180, 0.000000, 0.822000, -0.017405, -0.048587
-0.017594, -0.047774, 0.000000, 0.710000, -0.017499, -0.048180
-0.017690, -0.047367, -0.000000, 0.820000, -0.017594, -0.047774
-0.017785, -0.046961, -0.000000, 0.596000, -0.017690, -0.047367
-0.017881, -0.046554, -0.000000, 0.740000, -0.017785, -0.046961
-0.017977, -0.046148, 0.000000, 0.634000, -0.017881, -0.046554
-0.018073, -0.045741, 0.000000, 0.639000, -0.017977, -0.046148
-0.018170, -0.045335, -0.000000, 0.747000, -0.018074, -0.045741
-0.018267, -0.044929, 0.000000, 0.749000, -0.018170, -0.045335
-0.018364, -0.044523, -0.000000, 0.707000, -0.018267, -0.044929
-0.018461, -0.044117, -0.000000, 0.641000, -0.018364, -0.044523
-0.018559, -0.043710, -0.000000, 0.731000, -0.018461, -0.044117
-0.018657, -0.043305, 0.000000, 0.595000, -0.018559, -0.043711
-0.018755, -0.042899, 0.000000, 0.753000, -0.018657, -0.043305
-0.018853, -0.042493, 0.000000, 0.680000, -0.018755, -0.042899
-0.018951, -0.042087, 0.000000, 0.665000, -0.018853, -0.042493
-0.019050, -0.041681, 0.000000, 0.586000, -0.018952, -0.042087
-0.019149, -0.041276, 0.000000, 0.741000, -0.019050, -0.041681
-0.019249, -0.040870, 0.000000, 0.787000, -0.019150, -0.041276
-0.019348, -0.040465, 0.000000, 0.764000, -0.019249, -0.040870
-0.019448, -0.040059, -0.000000, 0.662000, -0.019348, -0.040465
-0.019548, -0.039654, -0.000000, 0.715000, -0.019448, -0.040059
